Messpunkt;Ist-Temp.;Heizkreislauf;Pumpenleistung
01.01.2010 16:47;54,17 °C;H2;545 l/min
01.01.2010 16:49;60,03 °C;H3;506 l/min
01.01.2010 16:51;67,44 °C;H2;1.099 l/min
01.01.2010 16:53;67,79 °C;H1;1.291 l/min
01.01.2010 16:55;59,30 °C;H3;1.017 l/min
01.01.2010 16:57;67,47 °C;H1;941 l/min
01.01.2010 16:59;56,23 °C;H1;643 l/min
01.01.2010 17:01;63,19 °C;H3;479 l/min
01.01.2010 17:03;63,11 °C;H3;944 l/min
01.01.2010 17:05;62,89 °C;H3;768 l/min
01.01.2010 17:07;52,43 °C;H3;503 l/min
01.01.2010 17:09;55,29 °C;H3;573 l/min
01.01.2010 17:11;52,69 °C;H3;1.177 l/min
01.01.2010 17:13;66,63 °C;H3;561 l/min
01.01.2010 17:15;67,36 °C;H3;771 l/min
01.01.2010 17:17;57,38 °C;H3;1.085 l/min
01.01.2010 17:19;56,49 °C;H1;490 l/min
01.01.2010 17:21;62,28 °C;H2;1.164 l/min
01.01.2010 17:23;56,75 °C;H2;1.135 l/min
01.01.2010 17:25;60,38 °C;H1;374 l/min
01.01.2010 17:27;68,96 °C;H1;1.121 l/min
01.01.2010 17:29;63,63 °C;H3;1.131 l/min
01.01.2010 17:31;59,65 °C;H1;737 l/min
01.01.2010 17:33;61,17 °C;H3;631 l/min
01.01.2010 17:35;68,45 °C;H3;588 l/min
01.01.2010 17:37;51,98 °C;H1;918 l/min
01.01.2010 17:39;51,49 °C;H2;884 l/min
01.01.2010 17:41;57,89 °C;H1;399 l/min
01.01.2010 17:43;54,01 °C;H2;1.038 l/min
01.01.2010 17:45;57,09 °C;H3;521 l/min
01.01.2010 17:47;52,61 °C;H2;307 l/min
01.01.2010 17:49;61,10 °C;H2;1.042 l/min
01.01.2010 17:51;69,92 °C;H1;982 l/min
01.01.2010 17:53;58,61 °C;H3;1.101 l/min
01.01.2010 17:55;59,43 °C;H1;1.218 l/min
01.01.2010 17:57;52,26 °C;H3;466 l/min
01.01.2010 17:59;51,52 °C;H2;415 l/min
01.01.2010 18:01;54,63 °C;H1;570 l/min
01.01.2010 18:03;60,13 °C;H1;391 l/min
01.01.2010 18:05;64,19 °C;H2;444 l/min
01.01.2010 18:07;69,70 °C;H2;346 l/min
01.01.2010 18:09;63,20 °C;H3;993 l/min
01.01.2010 18:11;55,55 °C;H2;1.124 l/min
01.01.2010 18:13;53,56 °C;H3;701 l/min
01.01.2010 18:15;52,26 °C;H2;1.042 l/min
01.01.2010 18:17;63,73 °C;H3;572 l/min
01.01.2010 18:19;63,24 °C;H1;667 l/min
01.01.2010 18:21;57,41 °C;H2;466 l/min
01.01.2010 18:23;66,90 °C;H1;544 l/min
01.01.2010 18:25;68,04 °C;H2;771 l/min
01.01.2010 18:27;64,24 °C;H2;1.205 l/min
01.01.2010 18:29;61,12 °C;H3;880 l/min
01.01.2010 18:31;69,04 °C;H3;1.091 l/min
01.01.2010 18:33;62,60 °C;H2;1.162 l/min
01.01.2010 18:35;57,79 °C;H3;983 l/min
01.01.2010 18:37;66,61 °C;H3;641 l/min
01.01.2010 18:39;61,89 °C;H2;303 l/min
01.01.2010 18:41;50,57 °C;H3;491 l/min
01.01.2010 18:43;64,37 °C;H2;1.155 l/min
01.01.2010 18:45;59,72 °C;H1;1.173 l/min
01.01.2010 18:47;58,77 °C;H2;1.167 l/min
01.01.2010 18:49;51,29 °C;H2;812 l/min
01.01.2010 18:51;67,43 °C;H1;665 l/min
01.01.2010 18:53;59,07 °C;H3;830 l/min
01.01.2010 18:55;60,89 °C;H1;958 l/min
01.01.2010 18:57;51,01 °C;H1;970 l/min
01.01.2010 18:59;59,57 °C;H3;830 l/min
01.01.2010 19:01;57,97 °C;H1;745 l/min
01.01.2010 19:03;68,82 °C;H2;1.026 l/min
01.01.2010 19:05;66,34 °C;H1;1.153 l/min
01.01.2010 19:07;63,87 °C;H1;739 l/min
01.01.2010 19:09;66,08 °C;H1;759 l/min
01.01.2010 19:11;60,26 °C;H1;748 l/min
01.01.2010 19:13;60,06 °C;H2;350 l/min
01.01.2010 19:15;57,15 °C;H1;300 l/min
01.01.2010 19:17;54,71 °C;H3;1.248 l/min
01.01.2010 19:19;59,99 °C;H1;723 l/min
01.01.2010 19:21;66,56 °C;H3;1.023 l/min
01.01.2010 19:23;59,28 °C;H1;689 l/min
01.01.2010 19:25;69,97 °C;H3;1.218 l/min
01.01.2010 19:27;54,69 °C;H3;1.098 l/min
01.01.2010 19:29;66,93 °C;H2;815 l/min
01.01.2010 19:31;63,64 °C;H3;313 l/min
01.01.2010 19:33;63,32 °C;H2;627 l/min
01.01.2010 19:35;60,32 °C;H3;833 l/min
01.01.2010 19:37;59,33 °C;H2;1.294 l/min
01.01.2010 19:39;52,94 °C;H2;596 l/min
01.01.2010 19:41;57,63 °C;H1;1.287 l/min
01.01.2010 19:43;53,65 °C;H3;331 l/min
01.01.2010 19:45;61,31 °C;H1;1.018 l/min
01.01.2010 19:47;61,64 °C;H1;343 l/min
01.01.2010 19:49;53,19 °C;H2;347 l/min
01.01.2010 19:51;52,06 °C;H3;837 l/min
01.01.2010 19:53;55,10 °C;H2;357 l/min
01.01.2010 19:55;61,31 °C;H3;1.153 l/min
01.01.2010 19:57;66,41 °C;H1;641 l/min
01.01.2010 19:59;52,20 °C;H2;1.017 l/min
01.01.2010 20:01;67,33 °C;H2;910 l/min
01.01.2010 20:03;60,97 °C;H1;393 l/min
01.01.2010 20:05;50,88 °C;H2;914 l/min
01.01.2010 20:07;54,50 °C;H3;694 l/min
01.01.2010 20:09;51,20 °C;H1;498 l/min
01.01.2010 20:11;50,05 °C;H2;375 l/min
01.01.2010 20:13;50,40 °C;H2;1.178 l/min
01.01.2010 20:15;62,98 °C;H1;1.025 l/min
01.01.2010 20:17;66,25 °C;H1;619 l/min
01.01.2010 20:19;61,80 °C;H3;329 l/min
01.01.2010 20:21;57,74 °C;H3;1.145 l/min
01.01.2010 20:23;65,80 °C;H2;1.077 l/min
01.01.2010 20:25;64,12 °C;H3;493 l/min
01.01.2010 20:27;64,72 °C;H1;419 l/min
01.01.2010 20:29;55,39 °C;H3;1.221 l/min
01.01.2010 20:31;63,82 °C;H3;919 l/min
01.01.2010 20:33;65,81 °C;H3;1.092 l/min
01.01.2010 20:35;67,06 °C;H3;353 l/min
01.01.2010 20:37;53,77 °C;H2;973 l/min
01.01.2010 20:39;65,51 °C;H3;601 l/min
01.01.2010 20:41;63,05 °C;H2;890 l/min
01.01.2010 20:43;66,37 °C;H3;671 l/min
01.01.2010 20:45;62,57 °C;H3;593 l/min
01.01.2010 20:47;54,27 °C;H1;452 l/min
01.01.2010 20:49;59,20 °C;H3;786 l/min
01.01.2010 20:51;66,58 °C;H3;966 l/min
01.01.2010 20:53;66,17 °C;H3;347 l/min
01.01.2010 20:55;67,99 °C;H2;604 l/min
01.01.2010 20:57;57,06 °C;H3;619 l/min
01.01.2010 20:59;55,71 °C;H3;1.257 l/min
01.01.2010 21:01;61,60 °C;H3;734 l/min
01.01.2010 21:03;68,14 °C;H2;553 l/min
01.01.2010 21:05;69,69 °C;H1;948 l/min
01.01.2010 21:07;56,12 °C;H1;809 l/min
01.01.2010 21:09;65,77 °C;H1;713 l/min
01.01.2010 21:11;59,10 °C;H2;590 l/min
01.01.2010 21:13;57,31 °C;H2;1.121 l/min
01.01.2010 21:15;64,52 °C;H3;1.197 l/min
01.01.2010 21:17;54,59 °C;H2;549 l/min
01.01.2010 21:19;66,40 °C;H3;1.227 l/min
01.01.2010 21:21;60,15 °C;H2;503 l/min
01.01.2010 21:23;58,01 °C;H1;578 l/min
01.01.2010 21:25;62,92 °C;H1;1.028 l/min
01.01.2010 21:27;64,76 °C;H1;310 l/min
01.01.2010 21:29;66,52 °C;H2;1.110 l/min
01.01.2010 21:31;61,35 °C;H3;1.224 l/min
01.01.2010 21:33;69,30 °C;H1;585 l/min
01.01.2010 21:35;50,96 °C;H2;1.038 l/min
01.01.2010 21:37;50,56 °C;H3;1.212 l/min
01.01.2010 21:39;63,20 °C;H2;880 l/min
01.01.2010 21:41;69,34 °C;H2;849 l/min
01.01.2010 21:43;59,75 °C;H3;386 l/min
01.01.2010 21:45;69,43 °C;H2;923 l/min
01.01.2010 21:47;53,20 °C;H2;1.236 l/min
01.01.2010 21:49;69,60 °C;H3;426 l/min
01.01.2010 21:51;58,46 °C;H3;733 l/min
01.01.2010 21:53;64,45 °C;H1;947 l/min
01.01.2010 21:55;51,72 °C;H2;664 l/min
01.01.2010 21:57;68,93 °C;H3;987 l/min
01.01.2010 21:59;59,39 °C;H2;379 l/min
01.01.2010 22:01;67,89 °C;H2;371 l/min
01.01.2010 22:03;67,91 °C;H2;484 l/min
01.01.2010 22:05;55,87 °C;H1;932 l/min
01.01.2010 22:07;52,01 °C;H1;1.161 l/min
01.01.2010 22:09;52,77 °C;H2;379 l/min
01.01.2010 22:11;58,28 °C;H2;825 l/min
01.01.2010 22:13;54,91 °C;H1;751 l/min
01.01.2010 22:15;58,96 °C;H3;1.169 l/min
01.01.2010 22:17;65,38 °C;H3;566 l/min
01.01.2010 22:19;69,50 °C;H1;406 l/min
01.01.2010 22:21;54,78 °C;H2;838 l/min
01.01.2010 22:23;58,18 °C;H3;354 l/min
01.01.2010 22:25;54,45 °C;H3;1.063 l/min
01.01.2010 22:27;57,05 °C;H2;398 l/min
01.01.2010 22:29;66,51 °C;H2;398 l/min
01.01.2010 22:31;59,15 °C;H3;990 l/min
01.01.2010 22:33;50,61 °C;H3;711 l/min
01.01.2010 22:35;67,97 °C;H2;668 l/min
01.01.2010 22:37;68,94 °C;H3;1.087 l/min
01.01.2010 22:39;59,05 °C;H1;810 l/min
01.01.2010 22:41;59,85 °C;H3;637 l/min
01.01.2010 22:43;50,10 °C;H3;886 l/min
01.01.2010 22:45;57,08 °C;H3;1.184 l/min
01.01.2010 22:47;63,38 °C;H2;910 l/min
01.01.2010 22:49;64,24 °C;H1;1.096 l/min
01.01.2010 22:51;51,16 °C;H3;1.017 l/min
01.01.2010 22:53;62,68 °C;H2;936 l/min
01.01.2010 22:55;52,24 °C;H3;835 l/min
01.01.2010 22:57;61,22 °C;H3;636 l/min
01.01.2010 22:59;51,96 °C;H3;515 l/min
01.01.2010 23:01;58,34 °C;H3;308 l/min
01.01.2010 23:03;65,14 °C;H2;613 l/min
01.01.2010 23:05;65,17 °C;H3;1.122 l/min
01.01.2010 23:07;62,31 °C;H2;453 l/min
01.01.2010 23:09;65,54 °C;H2;939 l/min
01.01.2010 23:11;51,07 °C;H3;804 l/min
01.01.2010 23:13;61,38 °C;H1;1.101 l/min
01.01.2010 23:15;66,59 °C;H3;1.032 l/min
01.01.2010 23:17;61,92 °C;H3;769 l/min
01.01.2010 23:19;50,66 °C;H3;803 l/min
01.01.2010 23:21;61,34 °C;H2;1.241 l/min
01.01.2010 23:23;52,12 °C;H1;1.185 l/min
01.01.2010 23:25;56,66 °C;H2;651 l/min
01.01.2010 23:27;62,13 °C;H3;1.086 l/min
01.01.2010 23:29;55,12 °C;H3;443 l/min
01.01.2010 23:31;56,87 °C;H1;600 l/min
01.01.2010 23:33;52,50 °C;H3;741 l/min
01.01.2010 23:35;63,16 °C;H2;951 l/min
01.01.2010 23:37;62,11 °C;H2;1.170 l/min
01.01.2010 23:39;61,01 °C;H3;323 l/min
01.01.2010 23:41;59,33 °C;H2;667 l/min
01.01.2010 23:43;66,78 °C;H1;1.070 l/min
01.01.2010 23:45;59,99 °C;H3;511 l/min
01.01.2010 23:47;61,20 °C;H3;747 l/min
01.01.2010 23:49;56,04 °C;H1;973 l/min
01.01.2010 23:51;63,05 °C;H1;1.099 l/min
01.01.2010 23:53;51,39 °C;H3;1.137 l/min
01.01.2010 23:55;57,76 °C;H1;713 l/min
01.01.2010 23:57;51,24 °C;H2;1.207 l/min
01.01.2010 23:59;53,99 °C;H2;685 l/min
